,,UTCI,,IDEAM CI,,APP_TEMP,,DISTORTION,SILHOUETTE CF
n clusters,,abs dev,SD,abs dev,SD,abs dev,SD,,
,8,1.843,1.543,1.103,0.579,3.194,1.567,0.009,0.236
,9,2.051,2.459,1.744,2.512,2.135,2.097,0.025,0.204
,10,3.32,3.203,1.196,1.155,3.931,2.558,0.022,0.455
,11,2.461,2.395,1.362,0.999,3.868,2.64,0.015,0.224
,12,1.591,1.693,0.672,0.877,1.867,1.569,0.01,0.351
,13,1.57,1.556,0.875,0.617,2.444,1.698,0.008,0.212
,14,2.167,1.903,0.95,0.655,2.912,1.698,0.011,0.265
,15,1.655,2.01,0.628,1.155,1.907,1.894,0.01,0.144
,16,2.403,1.603,1.548,0.468,4.84,1.518,0.017,0.309
,17,3.043,2.385,1.361,0.772,4.417,2.183,0.013,0.132
,18,2.03,2.451,2.14,2.363,1.98,2.174,0.025,0.344
,means:,2.239,2.265,1.372,1.349,2.856,1.955,0.017,0.278
20
,0,2.225,2.472,0.835,1.407,2.326,2.029,0.014,0.342
,1,2.763,1.136,1.533,0.311,5.743,1.074,0.013,0.427
,2,1.731,1.734,0.743,0.547,2.331,1.665,0.008,0.211
,3,2.608,3.145,1.902,3.208,1.837,2.057,0.024,0.283
,4,1.853,2.415,1.388,2.593,2.171,2.48,0.017,0.286
,5,3.1,4.211,1.379,2.423,2.767,3.232,0.037,0.171
,6,1.045,1.166,0.543,0.478,1.617,1.197,0.006,0.307
,7,3.189,3.831,4.318,3.38,2.199,2.221,0.039,0.34
,8,1.798,1.487,1.093,0.563,3.139,1.5,0.009,0.227
,9,2.053,2.485,1.682,2.585,2.11,2.166,0.024,0.215
,10,3.121,2.859,1.183,1.104,3.813,2.32,0.02,0.475
,11,1.845,2.206,1.713,1.678,2.321,2.128,0.016,0.246
,12,1.579,1.683,0.677,0.94,1.855,1.556,0.009,0.355
,13,1.567,1.556,0.871,0.616,2.433,1.693,0.008,0.21
,14,2.179,1.917,0.953,0.661,2.926,1.703,0.011,0.267
,15,1.67,2.032,0.635,1.14,1.937,1.919,0.01,0.133
,16,2.406,1.649,1.571,0.485,4.867,1.574,0.017,0.339
,17,3.012,2.327,1.367,0.756,4.426,2.142,0.013,0.134
,18,2.04,2.556,2.501,2.367,1.893,2.027,0.022,0.315
,19,2.303,2.17,1.305,0.799,3.714,2.343,0.013,0.228
,means:,2.204,2.252,1.41,1.402,2.821,1.951,0.017,0.276
